,0,0
Action,1280.0,532.0
Adventure,1226.0,559.0
Animation,437.0,239.0
Biography,427.0,226.0
Comedy,2749.0,1650.0
Crime,1070.0,477.0
Documentary,80.0,47.0
Drama,4259.0,2552.0
Family,403.0,249.0
Fantasy,573.0,330.0
Film-Noir,62.0,21.0
History,234.0,118.0
Horror,911.0,598.0
Music,225.0,141.0
Musical,189.0,123.0
Mystery,633.0,375.0
Romance,1428.0,976.0
Sci-Fi,574.0,278.0
Sport,102.0,44.0
Thriller,1023.0,541.0
War,157.0,60.0
Western,70.0,18.0
pass,4305.0,4305.0
notpass,3192.0,0.0
