imdbid,primaryTitle,year,rating,decade,variable,value,genre,pass,notpass
tt0009682,Tarzan of the Apes,1918,3,1900-1920,Action,1,Action,1,0
tt0010879,When the Clouds Roll by,1919,3,1900-1920,Romance,1,Romance,1,0
tt0015163,The Navigator,1924,0,1900-1920,Comedy,1,Comedy,0,1
tt0015324,Sherlock Jr.,1924,0,1900-1920,Romance,1,Romance,0,1
tt0016895,For Heaven's Sake,1926,0,1900-1920,Romance,1,Romance,0,1
tt0017925,The General,1926,0,1900-1920,Action,1,Action,0,1
tt0018578,Wings,1927,1,1900-1920,Drama,1,Drama,0,1
tt0018937,A Girl in Every Port,1928,0,1900-1920,Comedy,1,Comedy,0,1
tt0019412,Speedy,1928,0,1900-1920,Comedy,1,Comedy,0,1
tt0019421,"Steamboat Bill, Jr.",1928,0,1900-1920,Comedy,1,Comedy,0,1
tt0021079,Little Caesar,1931,1,1930,Drama,1,Drama,0,1
tt0023238,The Most Dangerous Game,1932,0,1930,Adventure,1,Adventure,0,1
tt0023427,Scarface,1932,1,1930,Drama,1,Drama,0,1
tt0025004,The Count of Monte Cristo,1934,1,1930,Adventure,1,Adventure,0,1
tt0027438,The Charge of the Light Brigade,1936,1,1930,Action,1,Action,0,1
tt0029843,The Adventures of Robin Hood,1938,2,1930,Romance,1,Romance,0,1
tt0032484,Foreign Correspondent,1940,1,1940,Action,1,Action,0,1
tt0032690,The Last Alarm,1940,3,1940,Action,1,Action,1,0
tt0033028,The Sea Hawk,1940,3,1940,Action,1,Action,1,0
tt0033717,High Sierra,1941,1,1940,Crime,1,Crime,0,1
tt0036323,Sahara,1943,0,1940,War,1,War,0,1
tt0036400,Sanshiro Sugata,1943,0,1940,Drama,1,Drama,0,1
tt0037954,"Objective, Burma!",1945,0,1940,Adventure,1,Adventure,0,1
tt0040242,Command Decision,1948,0,1940,War,1,War,0,1
tt0040379,The Fuller Brush Man,1948,1,1940,Adventure,1,Adventure,0,1
tt0040724,Red River,1948,0,1940,Romance,1,Romance,0,1
tt0044706,High Noon,1952,2,1950,Drama,1,Drama,0,1
tt0046534,The War of the Worlds,1953,1,1950,Sci-Fi,1,Sci-Fi,0,1
tt0048127,Godzilla Raids Again,1955,2,1950,Action,1,Action,0,1
tt0049223,Forbidden Planet,1956,0,1950,Action,1,Action,0,1
tt0050116,Whom God Forgives,1957,3,1950,Drama,1,Drama,1,0
tt0050251,The Mysterians,1957,3,1950,Sci-Fi,1,Sci-Fi,1,0
tt0050356,The Enemy Below,1957,0,1950,Drama,1,Drama,0,1
tt0051114,The True Story of Jesse James,1957,2,1950,Crime,1,Crime,0,1
tt0052151,Run Silent Run Deep,1958,0,1950,Action,1,Action,0,1
tt0052365,The Vikings,1958,2,1950,Action,1,Action,0,1
tt0053221,Rio Bravo,1959,1,1950,Western,1,Western,0,1
tt0053804,Exodus,1960,3,1960,Action,1,Action,1,0
tt0054047,The Magnificent Seven,1960,0,1960,Action,1,Action,0,1
tt0054953,The Guns of Navarone,1961,1,1960,Action,1,Action,0,1
tt0055294,The Phantom Planet,1961,0,1960,Action,1,Action,0,1
tt0055630,Yojimbo,1961,1,1960,Drama,1,Drama,0,1
tt0055832,Cartouche,1962,1,1960,Adventure,1,Adventure,0,1
tt0055928,Dr. No,1962,1,1960,Adventure,1,Adventure,0,1
tt0056059,Hatari!,1962,3,1960,Action,1,Action,1,0
tt0056142,King Kong vs. Godzilla,1962,3,1960,Action,1,Action,1,0
tt0056443,Sanjuro,1962,3,1960,Action,1,Action,1,0
tt0056800,55 Days at Peking,1963,1,1960,Adventure,1,Adventure,0,1
